u,466747134,60.2236846,-37.1910992,1567525349208669536,591.109453,243.7957407,24.47083023843665,466747134,u,60261.0894252,30.4676
z,691061021,60.2236846,-37.1910992,1567525349208669536,3563.8668944,538.9190508,22.520196311606902,691061021,z,60601.3578332,31.4636
y,938255157,60.2236846,-37.1910992,1567525349208669536,6038.1534866,1450.5755477,21.94773962910368,938255157,y,60955.2141882,30.6288
u,466717070,60.2236846,-37.1910992,1567525349208669536,-7.4144805,251.3468053,--,466717070,u,60261.0759832,30.4662
y,1214714101,60.2236846,-37.1910992,1567525349208669536,5151.1002461,1245.5484575,22.120249995467244,1214714101,y,61368.1482252,30.6364
y,407915187,60.2236846,-37.1910992,1567525349208669536,5919.4430991,1344.0757835,21.96929787439393,407915187,y,60159.3434602,30.6299
y,407945008,60.2236846,-37.1910992,1567525349208669536,4703.3469667,1372.8449105,22.21898245523717,407945008,y,60159.3568792,30.6294
y,456674038,60.2236846,-37.1910992,1567525349208669536,5358.9863884,1233.1689633,22.077293365111757,456674038,y,60240.1254512,30.6276
y,937361141,60.2236846,-37.1910992,1567525349208669536,5483.2923649,1506.5703745,22.05239649313478,937361141,y,60954.2130252,30.6196
y,1032242114,60.2236846,-37.1910992,1567525349208669536,6127.9312172,1732.2285665,21.931715295187217,1032242114,y,61100.0603062,30.5996
z,7997163,60.2236846,-37.1910992,1567525349208669536,3727.0637446,489.0178742,22.47158294842712,7997163,z,59591.0808742,31.463
y,1011331168,60.2236846,-37.1910992,1567525349208669536,5176.4545747,1166.0402577,22.114918981826317,1011331168,y,61073.0840122,30.6338
y,284048086,60.2236846,-37.1910992,1567525349208669536,4009.620246,1235.4645144,22.39224189443241,284048086,y,59980.1225302,30.6377
z,32682110,60.2236846,-37.1910992,1567525349208669536,6276.9010791,663.3544442,21.905636788911508,32682110,z,59624.0435452,31.4467
u,703340059,60.2236846,-37.1910992,1567525349208669536,186.8756691,167.1358939,25.721118098391713,703340059,u,60617.0944802,30.4777
u,466757003,60.2236846,-37.1910992,1567525349208669536,-272.596435,231.9040192,--,466757003,u,60261.0938972,30.4692
y,458309110,60.2236846,-37.1910992,1567525349208669536,3630.868793,1091.0130472,22.499973611748096,458309110,y,60242.1327932,30.6377
y,993452118,60.2236846,-37.1910992,1567525349208669536,5692.6956623,1511.5896013,22.01170508355769,993452118,y,61043.0887372,30.6196
y,492034076,60.2236846,-37.1910992,1567525349208669536,6017.2740586,1324.3528928,21.95150051995492,492034076,y,60302.1087292,30.6279
u,962483059,60.2236846,-37.1910992,1567525349208669536,405.6423451,235.9377184,24.879641788012297,962483059,u,60996.1043972,30.4662
y,904789103,60.2236846,-37.1910992,1567525349208669536,6269.3629579,1079.6982,21.90694146607491,904789103,y,60899.4044252,30.6385
u,660276112,60.2236846,-37.1910992,1567525349208669536,-361.6071187,167.575867,--,660276112,u,60557.2794712,30.4907
z,707678141,60.2236846,-37.1910992,1567525349208669536,5142.6598677,556.9316257,22.12203049673464,707678141,z,60625.0763172,31.4568
y,1176148166,60.2236846,-37.1910992,1567525349208669536,5569.234082,1588.5410997,22.03551131944133,1176148166,y,61308.1993312,30.6192
